Species,Treatment,Dish#,Seed#,DayGerm
RB,C,1,1,3
RB,C,1,2,3
RB,C,1,3,3
RB,C,1,4,3
RB,C,2,1,3
RB,C,2,2,3
RB,C,2,3,3
RB,C,2,4,3
RB,C,3,1,3
RB,C,3,2,3
RB,C,3,3,3
RB,C,3,4,3
RB,C,4,1,3
RB,C,4,2,3
RB,C,4,3,3
RB,C,4,4,3
RB,C,5,1,3
RB,C,5,2,3
RB,C,5,3,3
RB,C,5,4,5
RB,C,6,1,3
RB,C,6,2,3
RB,C,6,3,3
RB,C,6,4,3
RB,C,7,1,3
RB,C,7,2,3
RB,C,7,3,3
RB,C,7,4,3
RB,C,8,1,3
RB,C,8,2,3
RB,C,8,3,3
RB,C,8,4,3
RB,C,9,1,3
RB,C,9,2,3
RB,C,9,3,3
RB,C,9,4,3
RB,C,10,1,3
RB,C,10,2,3
RB,C,10,3,5
RB,C,10,4,0
RB,E,1,1,3
RB,E,1,2,3
RB,E,1,3,3
RB,E,1,4,3
RB,E,2,1,3
RB,E,2,2,3
RB,E,2,3,3
RB,E,2,4,3
RB,E,3,1,3
RB,E,3,2,3
RB,E,3,3,3
RB,E,3,4,9
RB,E,4,1,3
RB,E,4,2,3
RB,E,4,3,3
RB,E,4,4,9
RB,E,5,1,3
RB,E,5,2,3
RB,E,5,3,4
RB,E,5,4,4
RB,E,6,1,3
RB,E,6,2,3
RB,E,6,3,3
RB,E,6,4,3
RB,E,7,1,3
RB,E,7,2,3
RB,E,7,3,3
RB,E,7,4,0
RB,E,8,1,3
RB,E,8,2,3
RB,E,8,3,3
RB,E,8,4,3
RB,E,9,1,3
RB,E,9,2,3
RB,E,9,3,4
RB,E,9,4,0
RB,E,10,1,3
RB,E,10,2,3
RB,E,10,3,3
RB,E,10,4,3
BS,C,1,1,0
BS,C,1,2,0
BS,C,1,3,0
BS,C,1,4,0
BS,C,2,1,0
BS,C,2,2,0
BS,C,2,3,0
BS,C,2,4,0
BS,C,3,1,0
BS,C,3,2,0
BS,C,3,3,0
BS,C,3,4,0
BS,C,4,1,0
BS,C,4,2,0
BS,C,4,3,0
BS,C,4,4,0
BS,C,5,1,9
BS,C,5,2,11
BS,C,5,3,12
BS,C,5,4,0
BS,C,6,1,7
BS,C,6,2,9
BS,C,6,3,0
BS,C,6,4,0
BS,C,7,1,12
